0Dreamstars.ModTranslation-name|模组翻译
Built for speed, Hubert in on a mission to get paid<LINE> Though, this could be a joke.|为速度而生，肩负着搞钱的使命。<LINE>整活向。

//2937285946
Blaze.Lurker-description|一个非常渴望蜥蜴的安静捕食者。伏击猎物是你生存的关键。<LINE>这是我做的唯一一个mod，它可能之后不会再更新。<LINE>我把它作为一个模板，你可以通过steam/steamapps/workshop/content/312520访问。<LINE>从那里复制并且黏贴这个mod到steam/steamapps/common/Rain World/rainworld_data/StreamingAssets/Mods<LINE>然后编辑成你喜欢的蛞蝓猫并将其上传到创意工坊！<LINE><LINE>哦，你还需要Slugbase作为前置。
The Lurker|潜伏者
THE LURKER|潜伏者
A quiet predator with a hunger for Lizards.<LINE>Ambushing prey will be your key to survive.|一个安静的捕食者，渴望捕获蜥蜴。<LINE>伏击猎物将是你生存的关键。

//2937471209
thefriend-name|慰藉
thefriend-description|包含三只新的蛞蝓猫，朋友，盗猎者和潜行者（诺尔），时间线位于溪流和圣徒之间。

The Friend|朋友
THE FRIEND|朋友
Friend|朋友
FRIEND|朋友
Beastly in nature yet with a soft heart, you defy the order of life and find alliance among predators. <LINE> In the frozen wastes you call home, you search for those in need of companionship.|天性凶猛，但内心柔软，挑战自然的法则，在捕食者中寻找同盟。<LINE>在你称之为家的冰冻荒原上，你在寻找需要陪伴的它。
Finding family among their predators, The Friend braves<LINE>a harsh winter to find happiness|朋友在捕食者中寻找友谊，<LINE>勇敢地度过严冬寻找幸福。
The Stalker|潜行者
THE STALKER|潜行者
Stalker|潜行者
STALKER|潜行者
Thriving in the snow, your ways are primal, tearing through flesh with tooth and claw. <LINE> Your agility is your strength as you scour the land for only the grandest of prey.|生于雪原，以原始的方式谋求生存,用爪与牙撕裂肉体。<LINE>当你寻求你所渴望的猎物时，你的敏捷就是你的力量。
On the hunt for the sake of thrill,<LINE> The Stalker prowls the snow to the land's end|寻求刺激而狩猎，<LINE>潜行者在雪原中无尽地徘徊。
The Poacher|盗猎者
THE POACHER|盗猎者
Poacher|盗猎者
POACHER|盗猎者
Small, weak, yet crafty; set deadly traps to snare and kill your preferred prey.<LINE>Though the cold suits you poorly, you will find new purpose in your pursuits.|脆弱而狡猾；借陷阱之力捕杀你喜欢的猎物。<LINE>严寒对你不利，但你会带着希冀生存下去。
In the destruction of their home, The Poacher<LINE>fights to keep their family's legacy alive|偷猎者在被摧毁的家园中<LINE>为保护遗产而斗争。
Rotten God|腐化神明
The Mountain|山峦
Dark Bog|黑暗泥潭
Mudslide|污泥滑坡
World's Ceiling|世界之巅
Cliffside|峭壁
Bedrock|基岩层
Necropolis|墓城
The Peak|山峰
Dermis|真皮层
Abandoned Post|废弃信杆
Rotten God (Five Pebbles)|腐化神明（五卵石）
Rotten God (Decaying Modules)|腐化神明（损毁模块）
Corpse|遗迹
Rotten God (Infected Channels)|腐化神明（污染通道）
Rotten God (Dead Heart)|腐化神明（腐坏心脏）

Game Over - Press PAUSE BUTTON to restart, or find a way to survive|游戏结束 - 按“暂停键”重新开始，或是找到活下去的方法
Symbol|标志
Skull|头颅
Solace||慰藉
Rain World: Solace Config - Character Settings|雨世界: 慰藉设置 - 角色设置
Rain World: Solace Config - Character|雨世界: 慰藉设置 - 角色设置
Rain World: Solace Config - Friend|雨世界: 慰藉设置 - 朋友设置
Rain World: Solace Config - Poacher|雨世界: 慰藉设置 - 盗猎者设置
Version 0.3.0.1|版本 0.3.0.1
Heavy Foods|沉重的食物
Legacy Hypothermia|传统低温
Backspear Enable|允许背矛
Pup Behaviors|幼崽行为
Automatic Crouch|自动蹲下
Pole Crawl|爬杆
Legacy Movement|传统运动
Cycle 0 Rep Lock|雨循环0声誉锁定
Rain World: Solace Config - General Settings|雨世界: 慰藉设置 - 基本设置
Rain World: Solace Config - General|雨世界: 慰藉设置 - 基本设置
Lizards|蜥蜴相关
Global Rides|广泛骑行
Universal Meter|通用指示器
Famines|饥荒相关
Famines Disabled|禁用饥荒
Universal Famine|通用饥荒
Famines For All|全员饥荒
Expedition Famines|探险饥荒
Other|杂项
Blizzard Timer|雪计时器
Forces the rain timer to be visible for Solace slugcats and Saint|强制雨计时器在圣慰藉蛞蝓和圣徒战役中可用
Local Liz Rep For All|全员蜥蜴声誉本地化
Reputation|声誉
Rain World: Solace Config - Experimental Settings|雨世界: 慰藉设置 - 实验性设置
Rain World: Solace Config - Experimental|雨世界: 慰藉设置 - 实验性设置
Lizard Riding|蜥蜴骑行
Universal Lizard Riding|通用蜥蜴骑行
Lizard Rep Meter|蜥蜴声誉指示
Universal Lizard Meter|通用蜥蜴声誉指示
Movement|移动相关
Legacy Stats|传统行为
Auto Crouch|自动趴下
Combat|战斗相关
Rep Lock|声誉锁定
Pup Behavior|幼崽行为
Legacy Cold|传统寒冷
Main|基本
Slash conditions: Default - Empty hands, or no directional input while holding an object|倾斜条件: 默认 - 空手，或手持一件物品时无方向输入
Custom Start (disable if Story Mode fails load)|自定义开场（在剧情模式加载失败时禁用）
Fun and Extras|娱乐与额外
Creatures react to Meows|生物对猫叫做出反应
Hide ears (eg.For use with DMS)|隐藏耳朵（用于DMS等）
General|基本
Characters|角色
Experimental|实验性
Famine mechanics and changes are disabled when checked|勾选时，饥荒机制和修改将会被禁用
Famine mechanics and changes are given to every character|饥荒机制和修改应用于所有角色
Forces famines to appear in Expedition Mode|强制饥荒在探险模式中出现
Lizard reputation is localized for Solace slugcats when checked. May break things if disabled!|蜥蜴声誉已为慰藉模组中所有蛞蝓猫本地化处理，如果禁用，可能会导致问题!
Lizard reputation is localized for every character|蜥蜴声誉为所有角色本地化处理
Makes Friend crouch automatically after a standing jump|让朋友在站着跳起后自动趴下
Allows Friend to crawl along the tops of poles like Noir Catto does. Noir Catto not required to work. Thank you Noir for giving this to me!|允许朋友像潜行者一样在沿着杆顶爬行
Allows Friend t0 crawl along the tops of poles like Noir does|允许朋友像潜行者一样在沿着杆顶爬行
Changes various Friend stats to be as they were earlier in the mod's development|使朋友的行为像早期开发时一样
Allows Friend to use a backspear like they could earlier in the mod's development|允许朋友像早期开发时一样能够背矛
Stops changes to lizard reputation happening on cycle 0 for Friend. Lizard reputation may break if disabled|禁用在朋友0雨循环时对蜥蜴声誉的更改，禁用时，蜥蜴声誉系统可能损坏!
Allows Poacher to behave like a pup. Kind of subtle.|允许盗猎者表现得像蜥蜴幼崽，这个改动不明显。
Allows Poacher to use a backspear as was planned early in their development|允许盗猎者像早期预想的一样能够背矛
Makes Poacher get cold as fast as they did in earlier versions of the mod|让盗猎者失温像模组早期一样较快
Allows some food items to affect Poacher's movement|允许某些食物改变盗猎者的行动
Allows some food items to affect Poacher's movement when held|允许某些食物在被抓取时改变盗猎者的行为
Allows mother lizards to be ridden if lizard rep is high enough|当蜥蜴声誉足够高，允许骑行母亲蜥蜴
Allows all lizards to be ridden if tamed (excluding Young and Mother lizards)|允许骑行所有被驯服的蜥蜴（不包括母亲蜥蜴和幼崽蜥蜴）
Displays lizard reputation in the current region for Solace slugcats|在当前区域显示蜥蜴声誉（适用于慰藉蛞蝓猫）
Displays lizard reputation in the current region for all slugcats|在当前区域显示蜥蜴声誉（适用于所有蛞蝓猫）
Meow!|喵!

//2939135495
lesbitropical.vocalmod-description|一只新的蛞蝓猫，脾气暴躁，需要用强有力的下颚击晕敌人来达到目的。
THE VOCAL|龙猫
VOCAL|龙猫
A slugcat that uses his vocal cords and very strong jaw to survive,<LINE>stunning enemies that is in his way of his goal.|一只用强壮的下颌生存的蛞蝓猫，<LINE>能够击晕那些阻碍他的敌人。

//2939568597
The Enigma|谜
THE ENIGMA|谜
Enigma|谜
A purposed organism for ascension, created by two iterators from far away lands... <LINE> The experiment was ultimately a failure. However, it yielded very interesting results...|一个为飞升而创造的有机体，由两个来自遥远土地的迭代器创造。<LINE>实验最终失败了。然而，它产生了非常有趣的结果...

//2939738770
beeworld-description|蜂猫
The Beecat|蜂猫
BEECAT|蜂猫
THE BEECAT|蜂猫
Beecat|蜂猫
A regular bee?|一只普通的......蜜蜂？

//2942659714
maxi-mol.fivepebblespong-name|五块卵石乒乓球
maxi-mol.fivepebblespong-description|在五块卵石的演算室内添加了一个手柄，可以通过抓取手柄开始游戏。按上下控制游戏，此模组不会修改现有文本及行为。
Pick one.|选一个吧。
Hey, you found my controller! I was wondering where I left it..|嘿！你找到我的手柄了！我好奇我之前把它落在哪了...
I haven't seen this thing since my collapse. Where did you find this?|我自从倒塌后，就再也没见过这个。你是在哪里找见的？
It's a miracle it still works.|哇哦，居然还能用！
Another one? I don't remember having two..|另一个？我不记得我有两个...
The color indicates it's Five Pebbles' property.<LINE>I don't think he likes you stealing his stuff.|看颜色，这是五块卵石的。<LINE>我不希望你偷他的东西。
It's an electronic device with buttons. Where did you find this?|这是一个带按钮的电子设备。你在哪里找见的？
The shape looks vaguely familiar to me...|这个形状... 看起来似曾相识。
Change behavior to SlumberParty when kill-on-sight action is reached. Only works with the mark (because of limitations).\nThere may be exceptions if you don't use Downpour, but it shouldn't crash the game.|当五块卵石试图杀死你时，将状态更改为游戏模式。如果不启用倾盆大雨，可能会有意外的问题，但请放心，这个设置并不会导致游戏崩溃。
Pacify Five Pebbles|安抚五块卵石
Pebbles and Moon play Pong in Rubicon before you enter.|在玩家进入房间前，五块卵石和仰望皓月于魔方节点打乒乓球。
HR Pong (SPOILER)|HR 乒乓球（剧透）
No cheating!|不许作弊！
That won't lower my score, but I appreciate your creativity!|这不会影响分数，但是我很欣赏你的创造力！
It looks like we used all pearls.|看起来我们用完了所有的珍珠。
Now that's a lot of playtime!|玩的时间太长了！
You're a talented little creature.|你是一个有创造力的小生灵。
Well done!|干得漂亮！
You're getting better every game!|每场游戏你都在进步！
Let's make this somewhat fair.|让我们公平一点。
Try again.|再试一次。
Sorry, the game has become a bit difficult now that there's water in this room.|抱歉，这个房间里有水，不太方便组织游戏。
Looks like your score is |你的分数是
Your new highscore!|破纪录！
Your highscore is |你的最高分是
I see you've found a controller. Let's check if it still works.|你找见了一个手柄。让我看看是否还能用。
Sure, let's play a game.|没问题，开始吧。
Sure, I can make some time.|没问题，我随时奉陪。
A game is fine. I don't have a lot to occupy my time with anyway...|除了玩游戏，我没有其他方式打发时间...
One moment. Let me turn the projector back on.|等一下，等我开启投影。
One moment. ...I hope you don't have epilepsy.|等一下。...希望你没有癫痫。
One moment. The projector is having some difficulties.|等一下。投影仪出了点问题。
Yes, you'd better go. For your own sake.|快走吧，为了你自己。
Don't want to? That's ok.|不想玩了？好的。
I will take that as a no.|我拒绝此。
I see you've changed your mind.|我觉得你改变主意了。
Follow one of my overseers, it will show you where the energy rail is.|跟随我的监视器，它将指引你前往能源线路。
An overseer will catch up to you, and show you where the mass rarefaction cell is.|监视器将带你前往质量稀释电池。
Please follow one of my overseers to the energy rail.<LINE>Pay close attention, and it will show you where to go.|请跟随我的监视器前往能源线路<LINE>跟紧了，它将带你去那里。
Don't forget to bring the cell to Looks to the Moon.|别忘了带电池去仰望皓月。
The mass rarefaction cell, please take it to the structure in the far east.<LINE>It might still be of value there.|质量稀释电池，请送达东方巨构，<LINE>它或将发挥作用。
Take that rarefaction cell with you to the far east.<LINE>Then for your own sake, never return here.|带质量稀释电池前往东方巨构。<LINE>然后为了你自己，别回来了。
Have you got the cell to Looks to the Moon?|你已经将电池送达仰望皓月了吗？
Have you been to Looks to the Moon yet?|你到达仰望皓月了吗？
The energy rail has shut down. Dit you get the cell to it's new owner?<LINE>...if she is somehow still alive.|能源线路已经关闭。你将电池带到它的新主人那里了吗？<LINE>...如果她还活着的话。
Thanks for playing. But again, you should leave.<LINE>Leave quickly while you still can.|感谢游玩。但是我重申: 出于安全考虑，趁现在，赶紧离开。
This structure is in a constant state of decay.<LINE>Please find a way out little creature.|这个巨构即将倒塌。小生灵，请尽快离开。
Sure, I'll play a game with you!|没问题，开始玩吧！
It's been a while since I last played this one...|我上次玩这个是很久以前的事了...
Don't want to? That's ok.|不想玩了？好的。
Ah, don't want to?|啊，不想吗？
No obligations.|无权限。
You're welcome to play again!|欢迎下次游玩！
That was fun. Unfortunately I don't have many other games currently.|真有意思，可惜我目前没别的游戏可玩。
Thank you for playing!|感谢游玩！
No games. I am currently very busy.|别玩了，我现在很忙。
Well, a little game shouldn't hurt.|哦，玩一下游戏应该无伤大雅。
Fine, I needed a break.|好，我需要休息。
Have you made up your mind?|你打定主意了吗？
You're just playing with that, aren't you..|你不是刚刚才玩了这个...
I'll ignore that.|我将无视它。
You may grab a pearl.|你要抓一个珍珠。
To choose a game, you'll have to grab a pearl.|要选择游戏，你需要先抓一个珍珠。
It's yours now, please keep it.|现在是你的了，请妥善保管。
That's also not edible.|那个不能吃。
I think you've dropped something...|你是不是落下了什么...
Don't want to? That's ok.|不想玩了？好吧。
I will take that as a no.|我拒绝此。
You are not very decisive.|你有点优柔寡断。
Now, please leave. I would prefer to be alone.|现在请离开，我想静静。
Game is over, please leave. I would prefer to be alone.|游戏结束，我希望独处一会儿，请离开。
Ok. Now, please leave.|好，现在请离开。
I'd prefer if you left, little creature.|我希望你能离开，小生灵。
Ok, where was I?|好，我刚才说到哪了？
Now, what was I saying?|我刚才说到什么了？
Break is over.|中场休息结束。
Ok, one game. But please, hurry to Five Pebbles.|好，再玩一局。但是，请尽快前往五块卵石。
I don't have much time left.<LINE>After this game, please be on your way.|我时间紧迫。在这场游戏结束后，请尽快上路。
Every minute counts. After this game,<LINE>please be on your way.|分秒必争。游戏结束后请尽快上路。
Ok, one game. Have you been to Five Pebbles yet?|好，玩一局。你见到五块卵石了吗？
One game is fine. Don't forget to deliver<LINE>the pearl to the Communications Array.|玩一局也行。别忘了把珍珠送到通讯阵列。
A game is ok, but you need to leave soon.<LINE>I don't want you to get hit by falling debris. Or.. me.|玩一局可以，但是请尽快离开。<LINE>我不想你被碎片砸伤。抑或是...我。
Want to play a game? Don't forget about the pearl!|想玩一局？别忘了珍珠啊！
Sure, I'll play a game with you!|好，和你玩一局。
Games sound great!|这游戏不错！
What game do you want to play?<LINE>I don't have that many installed.|你想玩什么？我没安装多少游戏。
The device should be durable.<LINE>You do not have to test it.|这个设备应该很耐用。你无需测试它。
Don't want to? That's ok.|不想玩了？好的。
Ah, don't want to?|啊，不想玩了？
No obligations.|无权限。
Games can wait. Please hurry, little messenger!|游戏可以暂停。请尽快，小信使！
There is an elevated cable to the west.<LINE>It is the fastest way to Five Pebbles.|西面有一条高架电缆。是前往五块卵石最快的路。
Time is running out. Please hurry!|时间不等人。请快点！
Did you deliver the pearl to Five Pebbles?|你把珍珠送到五块卵石了吗？
Games can wait. Did you get the pearl to the Communications Array?|游戏可以暂停。你把珍珠送到通讯阵列了吗？
The Communications Array is past Five Pebbles' complex.<LINE>Don't worry, I won't get bored.|通讯阵列远过五块卵石的巨构，别担心，我不会感到无聊的。
You may deliver the pearl to the Communications Array on your return trip to Seven Red Suns.|你可以在回到七轮红日之前去通讯阵列送达珍珠。
Don't forget about the pearl!|别忘了珍珠！
Thanks for staying, but please do not say for too long.<LINE>This place will become very hazardous.|谢谢你留下来，但是请别留在这里太久。<LINE>此地将变得非常危险。
Thank you for your visit before you return to Seven Red Suns.|感谢你在回到七轮红日之前看望我。
That was fun. Thank you for your company, little creature.|真有意思，感谢你的陪伴，小生灵。
You might have to leave soon. This complex will soon collapse.|你最好尽快离开。巨构面临倒塌。

//2946343057
theWarrior-description|战士是一个需要浴血奋战才能生存的怪物。在恶劣的环境中跟踪、刺杀和猎杀你的猎物。
The Warrior|战士
THE WARRIOR|战士
Warrior|战士
A Feast awaits.|一场期待已久的盛宴。

//2946367105
tyxaar.nymph-description|一只虚弱但敏捷的蛞蝓猫。
The Nymph|精灵
THE NYMPH|精灵
Nymph|精灵
A strange creature, small and agile at the cost of physical strength.<LINE> Use your powers to make your way in this world and move fast, traveller.|一种奇异的生物，以体能为代价换取了无与伦比的敏捷。<LINE>旅者，用你的独特的力量在这个世界上闯出自己的路。

//2947594650
harvie.thedronemaster-description|一只带着激光无人机的机械猫，你所需要做的是清除一切挡住你路的事物。<LINE><LINE>特点：<LINE>你可以承受多达3次的致命伤害（不包括掉出房间），金属鳍会告诉你你还能承受多少次伤害。你需要更多的食物来雨眠。在吃饱之前，蜈蚣的点击可以帮你充电。<LINE>无人机的数量会随着你的业力等级增加而增加，按住C打开无人机控制HUD<LINE>你也能抓住你的无人机使你移动的更快。<LINE>你也可以打开只有工匠才能打开的门！
The DroneMaster|无人机大师
THE DRONEMASTER|无人机大师
DroneMaster|无人机大师
Use your drones to kill them all! :D|用你的无人机去清除一切挡路的力量！
DroneMaster's Dream|无人机大师的梦

//2947805022
0urufudoggo.theescort-name|护卫
urufudoggo.theescort-description|添加了护卫和它极为特殊的幼崽。<LINE><LINE>目前已完成护卫的能力和运动，<LINE>应该和其余战役完全兼容。<LINE>感谢任何形式的反馈！
The Escort|护卫
THE ESCORT|护卫
Escort|护卫
A guardian from a faraway land, entrusted to bring a special creature through the thick and thin.|一位来自遥远国度的守护者，受托带着一种特殊的生物穿越艰难险阻。
The Child|孩童
THE CHILD|孩童
Child|孩童
you shouldn't be seeing this >:( <LINE>... although there may be a secret to unlocking this campaign earlier than intended...<LINE>Shh! Keep quiet!|你不应该看到这个 >:( <LINE>...尽管可能有一个秘密方法可以提前解锁这个故事......<LINE>嘘！别声张！

GILDED UPDATE|镀金更新
[Beta]|[测试版]
Vanilla|原版
Main|主页
escoptions_meanlizards_text|启用（额外）恶意蜥蜴
escoptions_meanlizards_desc|启用时，蜥蜴将会在护卫战役中极具攻击性，并且会优先追捕护卫... 此更改在惬意合作下可能不生效。
escoptions_vengefullizards_text|启用（额外）复仇蜥蜴
escoptions_vengefullizards_desc|一旦杀死太多蜥蜴，蜥蜴可能会开始追捕护卫。
escoptions_carry_text|提升能量倍数
escoptions_carry_desc|确定护卫受到显著影响之前可以携带的物品的重量（X倍于护卫的重量）。
escoptions_dropkick_text|下踢击退乘数
escoptions_dropkick_desc|护卫下踢造成击退的量。只会影响无击退抗性的生物。
escoptions_hype_text|怒气值机制
escoptions_hypecheckbox_desc|禁用或启用怒气值机制
escoptions_hypeslider_desc|积攒怒气值的要求高低
escoptions_hypeselect_a|0=必定积攒
escoptions_hypeselect_b|1=50%概率积攒
escoptions_hypeselect_c|2=34%概率积攒
escoptions_hypeselect_d|3=25%概率积攒
escoptions_hypeselect_e|4=20%概率积攒
escoptions_hypeselect_f|5=13%概率积攒
escoptions_hypeselect_g|6=8%概率积攒
hype_tutorial|怒气值越高，你的力量就越强！
escoptions_longwall_text|长蹬墙跳
escoptions_longwall_desc|允许护卫在墙上进行突袭（长按跳跃）。通常会影响蹬跳墙的感觉。建议关闭。
escoptions_flippounce_text|古怪突袭
escoptions_flippounce_desc|允许护卫用猛扑进行（古怪）翻转，并允许护卫在斜靠墙壁并按下跳跃时进行超级墙壁翻转跳跃TM。
flippounce_tutorial|靠墙长按对角线方向约1秒，然后按下跳跃进行超级翻墙！
escoptions_lizgrab_text|抓取眩晕蜥蜴
escoptions_lizgrab_desc|允许护卫抓住昏迷的蜥蜴并对其施加暴力。
lizgrab_tutorial|眩晕蜥蜴抓住它，然后跳跃并按下投掷以踢它！
escoptions_superspear_text|超级长矛
escoptions_superspear_desc|投掷长矛时进行额外的运动操作，使连击更容易。
escoptions_options|这些选项会改变护卫的主要能力和游戏方式。<LINE>你可以在"能力"中找到简单的模式和构件，在"彩蛋"中找到其他有趣的恶作剧。
Builds|能力
Easier Mode|简单模式
escoptions_builds|这些将以某些方式改变隐藏值，使护卫玩法高度个性化<LINE>尝试每一个类型，找到最适合你的。
escoptions_buildeasy_text|简单模式
escoptions_buildeasy_desc|通过在半空中按下跳跃+抓取来启用下踢，为<REPLACE>启用。
escoptions_build_desc|为<REPLACE>选择类型。
Default|默认
default_desc|基本的，有一些技巧来与其他流派平分秋色。
default_tut_a|<DEFAULT>更熟悉游泳，使他们有更长的呼吸时间和更好的游泳技巧。
default_tut_b|杆上跳跃也比其他流派更好！
Brawler|角斗士
brawler_desc|切换到近身格斗风格。
brawler_shanktut_a|<BRAWLER>可以在挥舞长矛时刺穿生物。
brawler_shanktut_b|只需近距离攻击，或者通过抓住生物并向其投掷来造成更多伤害。
brawler_shanktut_c|投掷长矛，边滑边扔！
brawler_punchtut|岩石可以用来击打捕食者。
brawler_ms_expunchtut|炸弹可以让<BRAWLER>打出爆炸性的一拳！
Deflector|偏转师
deflector_desc|接受一种风险更大的游戏风格，必须通过滑动、滚动或翻转来躲避才能生存。
deflector_tut_a|<DEFLECTOR>默认情况下造成一半伤害。
deflector_tut_b|他们可以两次攻击来弥补力量损失...
deflector_tut_c|或者，通过滚动、滑动或翻转攻击来成功进行格挡，从而获得力量！
deflector_tut_d|充能状态下造成三倍伤害，但只适用于一次攻击，如果不使用就会消失。
deflector_tut_e|但没关系，已经够杀死捕食者了！
deflector_ms_tut|招架投射物将武器打回去！
Escapist|逃亡者
escapist_desc|即使在空手的情况下，也能迫使生物抓住（按住投掷）。
escapist_tut_a|在“游戏结束”文本出现之前，抓起东西扔给捕食者！
escapist_tut_b|或者，如果附近什么都没有，就按住投掷，从抓握中挣扎出来。
escapist_tut_c|小心，这会让你处于易受攻击的状态。
escapist_new_desc|用技巧和风格逃离任何情况。愚弄捕食者。
escapist_new_tut_a|点击地图键传送到两秒钟前<ESCAPIST>所在的位置。
escapist_new_tut_b|任何夹在你的旧位置和新位置之间的生物都会变得脆弱，这将使技能的冷却时间重置一半。
escapist_new_tut_c|攻击以利用这种情况并进一步重置冷却时间！
Railgunner|狙击手
railgunner_desc|同时使用两种相同类型的武器来增强攻击。
railgunner_tut_a|<RAILGUNNER>几乎没有从战斗增强中获得什么好处，反而从充能状态中获得了额外的力量。
railgunner_tut_b|拿着两件同类型的武器同时投掷，增加攻击力并充能。
railgunner_tut_c|注意，过度充能会导致<RAILGUNNER>爆炸!
railgunner_tut_d|倾听尖锐的 "嗙" 声，这表明过度充能处于危险水平，等待冷却。
ralgunner_ms_tut|用两块石头可以合成炸弹，用两支长矛可以合成爆炸矛。
railgunner_tut_spear|双矛: 大大提高了速度和伤害。
railgunner_tut_rock|双石头: 大大提高了速度和击退。
railgunner_tut_lily|双水莲花: 速度提高，弹道改善。
railgunner_tut_bomb|双炸弹: 提高速度并对投掷炸弹免疫，从而实现真正的爆炸跳跃。
railgunner_ms_tut_cracker|双爆竹: 速度加快，最后爆炸威力巨大。
railgunner_ms_tut_singularity|双奇点炸弹: 跳跃反弹并在撞击时引爆。
Speedster|速度星
speedster_desc|保持移动以提高速度，然后滑铲以释放能量。
speedster_tut_a|移动时充能，滑铲时释放能量！
speedster_tut_b|小心，如果你跑得太快，撞到任何东西都会让你眩晕！
speedster_old_tut_a|继续前进以加快速度。越过某个阈值即可获得提升！
speedster_old_tut_b|以提升的速度继续前进，以获得更快的提升！
speedster_ms_tut_a|滑动从生物下方通过而不会让自己眩晕！
speedster_ms_tut_b|达到3档及以上时无限滑动！
speedster_ms_old_tut_b|达到额外提升时无限滑动！
Gilded|镀金
gilded_desc|利用来源于他处的力量,从<REPLACE>中获得好处.
gilded_sub_a|虚空
